,population_den,Area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
"Block Group 1, Census Tract 43.02, Pulaski County, Arkansas",276.80,9.22,0.50,0.27,949,0.55,0.00,0.24,0.02,0.61,0.22,0.49,0.82,0.29,0.20,0.61,0.09,0.13,2000.00,0.69,0.00,0.05,0.00
"Block Group 2, Census Tract 43.02, Pulaski County, Arkansas",305.30,3.18,0.54,0.00,358,0.44,0.00,0.30,0.00,0.51,0.13,0.32,0.90,0.28,0.26,0.93,0.15,0.00,1975.00,0.36,,0.19,0.00
"Block Group 3, Census Tract 43.02, Pulaski County, Arkansas",495.20,1.49,0.47,0.00,276,0.34,0.00,0.46,0.01,0.38,0.26,0.22,0.57,0.35,0.30,0.31,0.07,0.09,1962.00,0.46,0.89,0.03,0.00
"Block Group 4, Census Tract 43.02, Pulaski County, Arkansas",15.40,40.18,0.55,0.47,212,0.35,0.00,0.49,0.05,0.61,0.04,0.36,0.77,0.33,0.25,0.39,0.04,0.04,1970.00,0.39,0.00,0.14,0.18
"Block Group 1, Census Tract 43.06, Pulaski County, Arkansas",1830.50,1.13,0.57,0.25,888,0.81,0.00,0.24,0.04,0.59,0.24,0.69,0.94,0.32,0.37,0.54,0.15,0.14,1979.00,0.24,0.00,0.05,0.00
"Block Group 2, Census Tract 43.06, Pulaski County, Arkansas",2745.80,0.38,0.63,1.00,55,0.41,0.00,0.26,0.04,0.49,0.26,0.33,0.82,0.32,0.24,0.62,0.00,0.03,1982.00,0.77,0.21,0.00,0.00
"Block Group 3, Census Tract 43.06, Pulaski County, Arkansas",6254.30,0.56,0.68,0.41,877,0.83,0.00,0.15,0.00,0.72,0.30,0.65,0.77,0.44,0.25,0.76,0.10,0.31,1995.00,0.52,0.40,0.09,0.00
"Block Group 1, Census Tract 43.07, Pulaski County, Arkansas",145.00,4.09,0.71,0.00,198,0.32,0.00,0.47,0.00,0.55,0.66,0.62,1.00,0.53,0.15,0.53,0.00,0.03,1986.00,0.41,0.00,0.00,0.00
"Block Group 2, Census Tract 43.07, Pulaski County, Arkansas",1248.30,3.99,0.59,0.63,52,0.70,0.00,0.18,0.06,0.00,0.15,0.57,0.85,0.25,0.09,0.34,0.02,0.06,2010.00,0.96,0.21,0.05,0.00
"Block Group 1, Census Tract 43.08, Pulaski County, Arkansas",9057.60,0.18,0.51,0.30,0,0.78,0.00,0.20,0.00,,0.00,0.13,0.92,0.24,0.09,0.43,0.02,0.08,2011.00,0.98,0.08,0.19,0.00
"Block Group 2, Census Tract 43.08, Pulaski County, Arkansas",1723.60,1.07,0.46,0.00,609,0.72,0.00,0.18,0.07,0.54,0.20,0.67,0.96,0.43,0.25,0.79,0.06,0.33,1988.00,0.34,0.00,0.00,0.00
"Block Group 1, Census Tract 43.09, Pulaski County, Arkansas",1481.70,2.22,0.55,0.05,1138,0.90,0.00,0.11,0.02,0.85,0.22,0.64,0.97,0.48,0.41,0.84,0.04,0.20,2005.00,0.39,0.00,0.07,0.00
"Block Group 2, Census Tract 43.09, Pulaski County, Arkansas",96.90,4.72,0.49,,33,0.27,0.00,0.10,0.20,1.00,0.18,0.00,0.76,0.13,0.11,0.13,0.00,0.00,2005.00,0.94,0.21,0.00,0.00
"Block Group 1, Census Tract 43.10, Pulaski County, Arkansas",262.40,6.03,0.55,0.00,577,0.30,0.00,0.17,0.09,0.38,0.20,0.10,0.98,0.36,0.28,0.79,0.50,0.05,1991.00,0.40,,0.03,0.00
"Block Group 2, Census Tract 43.10, Pulaski County, Arkansas",2348.10,0.40,0.45,0.87,404,0.83,0.00,0.28,0.02,0.75,0.15,0.76,0.98,0.17,0.33,0.68,0.07,0.17,1988.00,0.08,0.00,0.05,0.00
"Block Group 3, Census Tract 43.10, Pulaski County, Arkansas",3829.10,0.43,0.48,0.14,588,0.72,0.00,0.21,0.06,0.57,0.19,0.62,0.97,0.44,0.33,0.77,0.05,0.23,2000.00,0.21,0.00,0.05,0.00
"Block Group 1, Census Tract 43.11, Pulaski County, Arkansas",4637.30,0.40,0.53,0.02,478,0.85,0.00,0.11,0.07,0.96,0.30,0.47,1.00,0.83,0.38,0.86,0.05,0.37,2006.00,0.25,,0.07,0.00
"Block Group 2, Census Tract 43.11, Pulaski County, Arkansas",640.10,3.65,0.55,0.14,926,0.83,0.00,0.11,0.00,0.76,0.38,0.54,0.97,0.51,0.27,0.78,0.09,0.27,2004.00,0.31,0.00,0.08,0.00
"Block Group 1, Census Tract 44, Pulaski County, Arkansas",2710.20,0.62,0.46,0.55,364,0.75,0.00,0.21,0.02,0.81,0.10,0.61,0.70,0.09,0.43,0.32,0.05,0.21,1994.00,0.84,0.14,0.10,0.00
"Block Group 2, Census Tract 44, Pulaski County, Arkansas",714.30,0.59,0.16,1.00,56,0.95,0.00,0.14,0.00,0.61,0.10,0.44,0.89,0.05,0.11,0.03,0.00,0.09,1960.00,0.92,0.09,0.65,0.00
"Block Group 1, Census Tract 45, Pulaski County, Arkansas",2702.70,0.34,0.48,0.18,154,0.65,0.00,0.25,0.09,0.42,0.11,0.54,0.71,0.32,0.29,0.49,0.05,0.15,0.00,0.41,0.21,0.27,0.00
"Block Group 2, Census Tract 45, Pulaski County, Arkansas",1446.30,0.73,0.55,0.11,164,0.46,0.00,0.27,0.06,0.56,0.07,0.46,0.52,0.21,0.18,0.42,0.01,0.07,1954.00,0.67,0.26,0.14,0.00
"Block Group 1, Census Tract 46, Pulaski County, Arkansas",755.90,0.52,0.30,,67,0.47,0.37,0.41,0.02,0.00,0.11,0.38,0.53,0.15,0.21,0.35,0.16,0.03,1961.00,0.43,0.62,0.06,0.00
"Block Group 2, Census Tract 46, Pulaski County, Arkansas",4272.30,0.34,0.45,0.00,214,0.85,0.00,0.19,0.08,0.48,0.21,0.84,0.72,0.15,0.33,0.20,0.04,0.08,1948.00,0.68,0.21,0.05,0.01
"Block Group 3, Census Tract 46, Pulaski County, Arkansas",901.30,0.30,0.54,1.00,38,0.94,0.00,0.06,0.05,0.82,0.14,1.00,0.54,0.26,0.49,0.35,0.00,0.00,1956.00,0.71,0.51,0.00,0.00
"Block Group 1, Census Tract 47, Pulaski County, Arkansas",6073.70,0.14,0.46,0.35,129,0.72,0.00,0.17,0.05,0.57,0.25,0.87,0.79,0.23,0.32,0.58,0.25,0.02,0.00,0.49,0.13,0.09,0.09
"Block Group 2, Census Tract 47, Pulaski County, Arkansas",4716.20,0.13,0.40,,90,0.81,0.00,0.36,0.00,0.74,0.11,0.84,0.50,0.10,0.45,0.25,0.14,0.08,1945.00,0.65,0.13,0.07,0.00
"Block Group 3, Census Tract 47, Pulaski County, Arkansas",5559.20,0.23,0.42,0.92,153,0.47,0.00,0.23,0.01,0.44,0.36,0.47,0.96,0.49,0.11,0.71,0.25,0.18,0.00,0.65,0.14,0.15,0.00
"Block Group 4, Census Tract 47, Pulaski County, Arkansas",2584.00,0.34,0.56,0.00,364,0.64,0.00,0.32,0.04,0.67,0.16,0.66,0.79,0.33,0.30,0.46,0.07,0.08,1948.00,0.48,0.00,0.07,0.00
"Block Group 1, Census Tract 48.01, Pulaski County, Arkansas",5835.70,0.23,0.52,0.66,417,0.79,0.00,0.37,0.03,0.85,0.11,0.52,0.82,0.13,0.27,0.28,0.09,0.07,1944.00,0.34,0.26,0.13,0.00
"Block Group 2, Census Tract 48.01, Pulaski County, Arkansas",3481.80,0.17,0.50,0.36,142,0.62,0.00,0.23,0.00,0.68,0.22,0.48,0.92,0.35,0.29,0.49,0.19,0.31,0.00,0.26,0.04,0.05,0.03
"Block Group 3, Census Tract 48.01, Pulaski County, Arkansas",2335.30,0.16,0.48,0.44,59,0.93,0.00,0.29,0.00,1.00,0.05,0.66,0.92,0.21,0.30,0.32,0.04,0.08,0.00,0.17,0.05,0.09,0.00
"Block Group 1, Census Tract 49.01, Pulaski County, Arkansas",5710.80,0.15,0.55,0.36,227,0.69,0.00,0.28,0.00,0.68,0.05,0.20,0.80,0.08,0.30,0.36,0.00,0.05,1959.00,0.75,0.14,0.00,0.00
"Block Group 2, Census Tract 49.01, Pulaski County, Arkansas",3876.80,0.25,0.52,0.21,405,0.97,0.00,0.27,0.03,0.65,0.19,0.57,0.97,0.25,0.28,0.54,0.18,0.20,1946.00,0.12,0.00,0.00,0.00
"Block Group 3, Census Tract 49.01, Pulaski County, Arkansas",2792.10,0.28,0.47,0.26,269,0.92,0.00,0.24,0.01,0.71,0.20,0.70,0.90,0.25,0.25,0.53,0.17,0.28,1951.00,0.38,0.16,0.05,0.00
"Block Group 1, Census Tract 49.02, Pulaski County, Arkansas",1113.60,0.84,0.54,0.00,275,0.97,0.00,0.02,0.02,0.57,0.24,0.76,1.00,0.40,0.23,0.94,0.33,0.69,1967.00,0.24,0.00,0.02,0.00
"Block Group 2, Census Tract 49.02, Pulaski County, Arkansas",2576.70,0.24,0.62,0.29,294,1.00,0.00,0.28,0.00,0.87,0.28,0.93,1.00,0.21,0.25,0.48,0.00,0.30,1956.00,0.13,0.00,0.00,0.00
"Block Group 3, Census Tract 49.02, Pulaski County, Arkansas",1891.20,1.18,0.50,0.09,904,0.95,0.00,0.13,0.00,0.76,0.25,0.70,0.90,0.32,0.26,0.73,0.08,0.47,1971.00,0.14,,0.02,0.00
"Block Group 1, Census Tract 9801, Pulaski County, Arkansas",0.00,2.66,,,0,,0.00,0.00,,,,0.00,1.00,0.00,0.00,,,, ,,,0.00,
"Block Group 1, Census Tract 9802, Pulaski County, Arkansas",725.80,0.67,0.47,,0,0.22,0.03,0.34,0.04,,,0.35,1.00,0.00,0.14,,,, ,,,0.26,0.00
"Block Group 1, Census Tract 9803, Pulaski County, Arkansas",3913.90,0.23,0.46,0.06,0,0.85,0.00,0.03,0.01,,0.04,0.56,0.93,0.29,0.20,0.71,0.03,0.07,1969.00,0.87,0.10,0.05,0.03
"Block Group 2, Census Tract 9803, Pulaski County, Arkansas",3476.50,0.54,0.60,0.08,0,0.88,0.00,0.07,0.02,,0.03,0.59,0.95,0.45,0.17,0.65,0.10,0.06,1966.00,0.89,0.06,0.09,0.04
"Block Group 3, Census Tract 9803, Pulaski County, Arkansas",79.70,9.01,0.22,0.00,0,0.98,0.00,0.01,0.01,,0.21,0.00,1.00,0.37,0.04,0.63,0.00,0.00,1994.00,1.00,0.00,0.12,0.00
"Block Group 1, Census Tract 9804, Pulaski County, Arkansas",100.30,5.88,0.46,0.81,140,0.33,0.21,0.33,0.12,0.40,0.14,0.38,0.43,0.29,0.32,0.46,0.07,0.06,1959.00,0.42,0.35,0.14,0.00
"Block Group 1, Census Tract 9601, Randolph County, Arkansas",23.90,47.10,0.45,0.35,318,0.39,0.00,0.38,0.01,0.31,0.46,0.55,0.73,0.39,0.21,0.64,0.04,0.10,1972.00,0.23,0.02,0.13,0.00
"Block Group 2, Census Tract 9601, Randolph County, Arkansas",21.40,39.73,0.49,0.70,284,0.44,0.00,0.29,0.03,0.49,0.19,0.37,0.80,0.37,0.18,0.65,0.17,0.10,1976.00,0.15,0.12,0.06,0.00
"Block Group 3, Census Tract 9601, Randolph County, Arkansas",22.70,60.06,0.49,0.32,380,0.60,0.34,0.09,0.02,0.52,0.44,0.29,0.92,0.71,0.23,0.90,0.05,0.21,1986.00,0.36,0.00,0.10,0.00
"Block Group 4, Census Tract 9601, Randolph County, Arkansas",8.60,55.27,0.48,0.11,158,0.35,0.17,0.19,0.02,0.27,0.27,0.24,0.80,0.34,0.21,0.69,0.13,0.11,1965.00,0.07,0.07,0.20,0.00
"Block Group 5, Census Tract 9601, Randolph County, Arkansas",9.90,48.44,0.52,0.97,111,0.52,0.00,0.38,0.10,0.55,0.13,0.21,0.85,0.23,0.31,0.56,0.33,0.20,1974.00,0.36,0.08,0.10,0.00
"Block Group 1, Census Tract 9602.01, Randolph County, Arkansas",7.60,132.25,0.42,0.15,396,0.35,0.00,0.34,0.03,0.33,0.05,0.67,0.69,0.28,0.29,0.59,0.24,0.11,1987.00,0.34,0.00,0.00,0.00
"Block Group 2, Census Tract 9602.01, Randolph County, Arkansas",14.00,74.84,0.48,0.89,415,0.52,0.00,0.29,0.00,0.21,0.29,0.76,0.93,0.34,0.18,0.64,0.24,0.27,1981.00,0.26,0.00,0.04,0.00
"Block Group 1, Census Tract 9602.02, Randolph County, Arkansas",61.80,44.29,0.46,0.29,809,0.59,0.38,0.18,0.05,0.48,0.19,0.56,0.90,0.59,0.26,0.84,0.24,0.16,1996.00,0.22,0.31,0.05,0.00
"Block Group 2, Census Tract 9602.02, Randolph County, Arkansas",6.30,85.43,0.50,0.00,200,0.51,0.00,0.29,0.00,0.32,0.31,0.38,0.84,0.24,0.20,0.51,0.19,0.30,1991.00,0.18,0.00,0.15,0.00
"Block Group 3, Census Tract 9602.02, Randolph County, Arkansas",15.00,41.47,0.48,0.58,244,0.34,0.00,0.12,0.06,0.40,0.22,0.60,0.82,0.21,0.16,0.69,0.10,0.23,1985.00,0.27,0.00,0.00,0.00
"Block Group 1, Census Tract 9603.01, Randolph County, Arkansas",236.00,4.59,0.50,0.51,265,0.45,0.00,0.45,0.00,0.48,0.35,0.65,0.63,0.20,0.15,0.70,0.20,0.09,1978.00,0.18,0.34,0.11,0.00
"Block Group 2, Census Tract 9603.01, Randolph County, Arkansas",397.00,4.18,0.58,0.07,549,0.47,0.00,0.27,0.10,0.31,0.17,0.61,0.69,0.40,0.26,0.59,0.16,0.08,1980.00,0.17,0.22,0.07,0.00
"Block Group 3, Census Tract 9603.01, Randolph County, Arkansas",811.90,2.28,0.49,0.02,407,0.52,0.00,0.17,0.00,0.54,0.24,0.32,0.77,0.49,0.18,0.66,0.07,0.09,1979.00,0.28,0.15,0.09,0.00
"Block Group 1, Census Tract 9603.02, Randolph County, Arkansas",200.80,6.09,0.49,0.36,178,0.47,0.09,0.33,0.03,0.57,0.37,0.54,0.73,0.59,0.29,0.69,0.08,0.03,1973.00,0.40,0.21,0.25,0.00
"Block Group 2, Census Tract 9603.02, Randolph County, Arkansas",1428.00,0.38,0.45,0.26,151,0.32,0.00,0.53,0.02,0.37,0.16,0.63,0.48,0.15,0.20,0.26,0.05,0.09,1972.00,0.25,0.29,0.14,0.00
"Block Group 3, Census Tract 9603.02, Randolph County, Arkansas",93.20,3.40,0.50,0.31,68,0.41,0.00,0.17,0.09,0.71,0.22,0.78,0.38,0.12,0.50,0.22,0.03,0.00,1985.00,0.41,0.26,0.14,0.00
"Block Group 4, Census Tract 9603.02, Randolph County, Arkansas",723.20,2.11,0.58,0.22,365,0.44,0.00,0.31,0.09,0.31,0.11,0.57,0.79,0.37,0.26,0.57,0.03,0.09,1972.00,0.20,0.00,0.16,0.00
"Block Group 1, Census Tract 9601, St. Francis County, Arkansas",7.90,59.22,0.63,0.10,90,0.42,0.00,0.37,0.00,0.22,0.07,0.54,0.76,0.38,0.30,0.65,0.03,0.07,1977.00,0.69,0.00,0.31,0.00
"Block Group 2, Census Tract 9601, St. Francis County, Arkansas",58.40,8.65,0.46,1.00,106,0.36,0.00,0.31,0.05,0.46,0.26,0.42,0.48,0.21,0.11,0.44,0.04,0.03,1980.00,0.46,0.26,0.04,0.00
"Block Group 3, Census Tract 9601, St. Francis County, Arkansas",3.90,158.64,0.61,0.26,188,0.35,0.00,0.21,0.04,0.36,0.29,0.37,0.69,0.39,0.23,0.68,0.03,0.18,1992.00,0.41,0.57,0.25,0.00
"Block Group 4, Census Tract 9601, St. Francis County, Arkansas",88.70,7.14,0.39,0.35,165,0.56,0.00,0.24,0.01,0.69,0.11,0.45,0.70,0.45,0.29,0.66,0.08,0.03,1969.00,0.33,0.15,0.09,0.00
"Block Group 1, Census Tract 9602.01, St. Francis County, Arkansas",55.60,18.62,0.39,0.57,219,0.48,0.00,0.18,0.14,0.23,0.34,0.65,0.57,0.21,0.16,0.57,0.11,0.17,1991.00,0.73,0.15,0.00,0.00
"Block Group 2, Census Tract 9602.01, St. Francis County, Arkansas",35.30,31.31,0.50,0.24,278,0.46,0.00,0.30,0.02,0.53,0.17,0.31,0.72,0.45,0.29,0.62,0.16,0.01,1991.00,0.54,0.35,0.02,0.00
"Block Group 1, Census Tract 9602.02, St. Francis County, Arkansas",17.00,40.90,0.52,1.00,333,0.32,0.00,0.43,0.00,0.38,0.22,0.09,0.52,0.09,0.27,0.54,0.09,0.19,1979.00,0.52,1.00,0.21,0.00
"Block Group 2, Census Tract 9602.02, St. Francis County, Arkansas",209.30,3.63,0.46,0.90,314,0.72,0.00,0.14,0.00,0.37,0.35,0.73,0.83,0.28,0.13,0.74,0.14,0.28,1992.00,0.86,0.00,0.08,0.00
"Block Group 3, Census Tract 9602.02, St. Francis County, Arkansas",5.60,74.83,0.34,,166,0.28,0.00,0.13,0.00,0.11,0.18,0.00,0.58,0.10,0.36,0.67,0.34,0.00,1974.00,0.87,0.00,0.39,0.00
"Block Group 4, Census Tract 9602.02, St. Francis County, Arkansas",223.70,3.74,0.49,0.59,165,0.48,0.00,0.22,0.01,0.34,0.17,0.55,0.63,0.30,0.26,0.60,0.12,0.03,1983.00,0.57,0.23,0.05,0.00
"Block Group 1, Census Tract 9603, St. Francis County, Arkansas",57.90,16.95,0.52,0.38,278,0.35,0.09,0.28,0.02,0.27,0.29,0.59,0.64,0.28,0.27,0.63,0.22,0.08,1985.00,0.63,0.14,0.04,0.00
"Block Group 2, Census Tract 9603, St. Francis County, Arkansas",6.00,89.28,0.57,0.00,182,0.30,0.00,0.21,0.02,0.37,0.15,0.41,0.58,0.21,0.29,0.56,0.04,0.07,1979.00,0.62,0.00,0.14,0.00
"Block Group 3, Census Tract 9603, St. Francis County, Arkansas",11.80,91.07,0.39,0.13,301,0.42,0.00,0.18,0.00,0.25,0.22,0.39,0.83,0.34,0.29,0.67,0.10,0.13,1980.00,0.57,0.00,0.18,0.00
"Block Group 1, Census Tract 9604, St. Francis County, Arkansas",482.10,4.69,0.53,1.00,224,0.40,0.00,0.24,0.05,0.81,0.15,0.33,0.71,0.51,0.17,0.61,0.03,0.02,1981.00,0.59,0.11,0.11,0.00
"Block Group 2, Census Tract 9604, St. Francis County, Arkansas",1411.20,0.20,0.54,,89,0.56,0.00,0.49,0.00,0.52,0.51,0.24,0.72,0.04,0.21,0.41,0.00,0.03,1963.00,0.38,0.30,0.08,0.00
"Block Group 3, Census Tract 9604, St. Francis County, Arkansas",2032.90,0.24,0.54,1.00,111,0.49,0.00,0.21,0.11,0.23,0.17,0.24,0.77,0.47,0.15,0.48,0.16,0.00,1972.00,0.43,0.28,0.03,0.00
"Block Group 4, Census Tract 9604, St. Francis County, Arkansas",327.50,3.87,0.56,0.50,25,0.57,0.00,0.08,0.00,0.40,0.01,0.11,0.44,0.51,0.15,0.73,0.00,0.02,1985.00,0.51,0.37,0.18,0.00
"Block Group 1, Census Tract 9605, St. Francis County, Arkansas",217.70,1.77,0.44,0.67,122,0.42,0.00,0.51,0.00,0.35,0.26,0.74,0.56,0.12,0.28,0.46,0.04,0.10,1977.00,0.46,0.00,0.00,0.00
"Block Group 2, Census Tract 9605, St. Francis County, Arkansas",1840.60,0.64,0.28,0.49,71,0.29,0.30,0.08,0.01,0.49,0.12,0.04,0.95,0.74,0.14,0.85,0.01,0.01,1984.00,0.84,0.05,0.02,0.00
"Block Group 3, Census Tract 9605, St. Francis County, Arkansas",430.80,3.58,0.56,0.85,383,0.60,0.00,0.30,0.04,0.40,0.29,0.70,0.69,0.28,0.22,0.55,0.15,0.07,1975.00,0.41,0.18,0.02,0.00
"Block Group 1, Census Tract 9606, St. Francis County, Arkansas",241.00,9.04,0.52,0.75,344,0.45,0.00,0.18,0.07,0.59,0.25,0.53,0.82,0.38,0.19,0.60,0.01,0.02,1976.00,0.47,0.12,0.08,0.00
"Block Group 2, Census Tract 9606, St. Francis County, Arkansas",690.90,0.37,0.79,,100,0.60,0.00,0.63,0.11,0.00,0.20,0.84,0.47,0.21,0.10,0.33,0.00,0.04,1979.00,0.35,0.00,0.00,0.00
"Block Group 3, Census Tract 9606, St. Francis County, Arkansas",363.00,4.42,0.15,0.32,49,0.26,0.00,0.35,0.01,0.49,0.09,0.15,0.34,0.22,0.48,0.61,0.00,0.00,1985.00,0.60,0.76,0.07,0.00
"Block Group 4, Census Tract 9606, St. Francis County, Arkansas",1256.90,1.99,0.20,0.26,91,0.42,0.00,0.33,0.01,0.50,0.17,0.33,0.61,0.73,0.51,0.78,0.05,0.00,1969.00,0.29,0.32,0.06,0.00
"Block Group 1, Census Tract 101.01, Saline County, Arkansas",1613.00,0.83,0.51,0.47,304,0.46,0.00,0.30,0.02,0.79,0.21,0.26,0.88,0.39,0.21,0.68,0.02,0.01,1958.00,0.19,0.08,0.26,0.00
"Block Group 2, Census Tract 101.01, Saline County, Arkansas",1949.20,0.64,0.50,0.25,368,0.28,0.00,0.30,0.15,0.44,0.13,0.64,0.86,0.23,0.37,0.59,0.25,0.14,1954.00,0.24,0.17,0.08,0.00
"Block Group 3, Census Tract 101.01, Saline County, Arkansas",2767.00,0.40,0.56,0.69,286,0.78,0.18,0.30,0.03,0.52,0.26,0.66,0.87,0.42,0.28,0.65,0.06,0.08,1958.00,0.19,0.27,0.09,0.00
"Block Group 1, Census Tract 101.04, Saline County, Arkansas",2482.00,0.60,0.54,0.36,487,0.84,0.00,0.23,0.04,0.89,0.06,0.69,0.83,0.46,0.34,0.67,0.08,0.11,2004.00,0.42,0.44,0.07,0.00
"Block Group 2, Census Tract 101.04, Saline County, Arkansas",2287.90,1.17,0.50,0.45,868,0.70,0.00,0.28,0.00,0.83,0.21,0.79,0.92,0.41,0.27,0.76,0.00,0.08,2007.00,0.22,0.60,0.17,0.00
"Block Group 1, Census Tract 101.05, Saline County, Arkansas",2154.30,0.92,0.65,0.06,923,0.53,0.17,0.38,0.00,0.72,0.19,0.32,0.96,0.27,0.33,0.46,0.04,0.07,1981.00,0.11,0.55,0.15,0.00
"Block Group 2, Census Tract 101.05, Saline County, Arkansas",2487.30,1.42,0.55,0.18,995,0.66,0.00,0.26,0.00,0.72,0.15,0.48,1.00,0.35,0.26,0.74,0.19,0.22,1983.00,0.24,0.00,0.05,0.00
"Block Group 1, Census Tract 101.06, Saline County, Arkansas",607.60,5.56,0.48,0.19,896,0.66,0.00,0.23,0.01,0.75,0.23,0.57,0.96,0.43,0.30,0.80,0.11,0.08,2004.00,0.46,0.15,0.14,0.00
"Block Group 1, Census Tract 101.07, Saline County, Arkansas",1277.90,2.11,0.48,0.19,676,0.54,0.28,0.25,0.00,0.47,0.29,0.41,0.83,0.32,0.23,0.78,0.15,0.15,1986.00,0.42,0.18,0.14,0.00
"Block Group 2, Census Tract 101.07, Saline County, Arkansas",1583.70,0.58,0.42,0.10,117,0.81,0.00,0.15,0.00,0.75,0.15,0.59,1.00,0.27,0.15,0.41,0.00,0.07,2001.00,0.87,0.00,0.00,0.00
"Block Group 3, Census Tract 101.07, Saline County, Arkansas",737.40,2.22,0.44,0.82,101,0.75,0.00,0.28,0.08,1.00,0.27,0.59,0.82,0.10,0.33,0.23,0.00,0.15,2005.00,0.86,0.17,0.07,0.00
"Block Group 1, Census Tract 103.01, Saline County, Arkansas",1906.00,0.41,0.60,0.47,279,0.48,0.00,0.22,0.03,0.53,0.22,0.28,0.78,0.14,0.27,0.68,0.17,0.20,1984.00,0.51,0.40,0.05,0.00
"Block Group 2, Census Tract 103.01, Saline County, Arkansas",912.70,1.54,0.57,0.19,493,0.75,0.00,0.16,0.16,0.57,0.06,0.48,0.78,0.49,0.23,0.63,0.16,0.11,2005.00,0.62,0.00,0.09,0.00
"Block Group 3, Census Tract 103.01, Saline County, Arkansas",2011.30,1.35,0.52,0.39,490,0.78,0.00,0.20,0.06,0.78,0.12,0.56,0.98,0.48,0.27,0.75,0.09,0.08,2010.00,0.71,0.03,0.07,0.00
"Block Group 1, Census Tract 103.02, Saline County, Arkansas",365.10,2.09,0.51,0.00,256,0.79,0.00,0.07,0.00,0.61,0.53,0.76,0.96,0.42,0.25,0.84,0.09,0.26,1986.00,0.10,0.00,0.09,0.00
"Block Group 2, Census Tract 103.02, Saline County, Arkansas",1683.80,1.93,0.45,0.31,794,0.53,0.00,0.16,0.02,0.72,0.10,0.49,0.86,0.36,0.32,0.67,0.04,0.09,1994.00,0.52,0.20,0.10,0.00
"Block Group 1, Census Tract 103.03, Saline County, Arkansas",859.60,1.81,0.52,0.16,452,0.68,0.00,0.08,0.01,0.81,0.12,0.46,0.98,0.61,0.34,0.91,0.02,0.19,2006.00,0.48,0.00,0.09,0.00
"Block Group 2, Census Tract 103.03, Saline County, Arkansas",1438.20,1.29,0.50,0.15,605,0.70,0.00,0.20,0.02,0.58,0.26,0.39,0.87,0.35,0.24,0.74,0.08,0.36,1974.00,0.27,0.13,0.04,0.00
"Block Group 3, Census Tract 103.03, Saline County, Arkansas",898.80,0.76,0.47,0.00,204,0.84,0.00,0.07,0.01,0.75,0.29,0.69,0.92,0.54,0.17,0.86,0.09,0.33,1979.00,0.15,0.00,0.29,0.00
"Block Group 1, Census Tract 104.05, Saline County, Arkansas",447.60,3.31,0.51,0.18,396,0.55,0.00,0.14,0.01,0.57,0.49,0.36,0.90,0.44,0.22,0.90,0.03,0.30,2001.00,0.88,0.00,0.09,0.00
"Block Group 2, Census Tract 104.05, Saline County, Arkansas",86.80,22.23,0.55,0.46,550,0.70,0.17,0.19,0.07,0.78,0.25,0.30,0.94,0.66,0.29,0.85,0.16,0.20,1989.00,0.93,0.43,0.07,0.00
"Block Group 3, Census Tract 104.05, Saline County, Arkansas",203.60,5.89,0.43,0.88,371,0.42,0.00,0.36,0.04,0.44,0.26,0.44,0.85,0.31,0.36,0.78,0.13,0.13,1992.00,0.92,0.36,0.09,0.00
"Block Group 1, Census Tract 104.06, Saline County, Arkansas",455.30,5.60,0.46,0.29,668,0.32,0.00,0.38,0.02,0.51,0.17,0.45,0.94,0.63,0.32,0.79,0.08,0.15,1999.00,0.80,0.00,0.14,0.00
"Block Group 2, Census Tract 104.06, Saline County, Arkansas",138.70,11.19,0.46,0.34,474,0.50,0.00,0.15,0.00,0.49,0.20,0.45,0.89,0.48,0.26,0.85,0.03,0.28,1997.00,0.87,0.00,0.22,0.00
"Block Group 3, Census Tract 104.06, Saline County, Arkansas",361.70,4.78,0.54,0.49,662,0.61,0.00,0.37,0.03,0.40,0.17,0.63,0.87,0.32,0.34,0.58,0.15,0.17,1995.00,0.81,0.46,0.03,0.00
"Block Group 1, Census Tract 104.07, Saline County, Arkansas",170.80,7.65,0.51,0.23,454,0.51,0.00,0.20,0.04,0.39,0.19,0.55,0.76,0.24,0.23,0.73,0.15,0.12,1996.00,0.56,0.00,0.21,0.00
"Block Group 2, Census Tract 104.07, Saline County, Arkansas",74.70,44.79,0.44,0.13,1075,0.54,0.00,0.24,0.03,0.60,0.16,0.59,0.91,0.42,0.34,0.72,0.05,0.12,1999.00,0.75,0.31,0.07,0.00
"Block Group 1, Census Tract 104.08, Saline County, Arkansas",2871.70,0.74,0.53,0.58,783,0.67,0.00,0.28,0.02,0.95,0.12,0.43,0.76,0.54,0.30,0.70,0.10,0.08,2000.00,0.64,0.00,0.09,0.00
"Block Group 2, Census Tract 104.08, Saline County, Arkansas",533.80,2.36,0.49,0.09,383,0.39,0.13,0.21,0.07,0.35,0.49,0.26,1.00,0.39,0.41,0.77,0.11,0.17,1983.00,0.14,0.00,0.07,0.00
